"survived","passengerid","title_surname_survival","pclass","sex","age","age_bucket","fare","fare_bucket","title_grouping","is_woman_boy","family_size","is_one_family","is_mix_group","is_alone","cabin_level","embarked"
0,1,0,3,0,"22","2","7.25","0",3,0,2,0,0,1,6,0
1,2,0,1,1,"38","3","71.2833","3",1,1,2,1,0,0,2,1
1,3,0,3,1,"26","2","7.925","0",2,1,1,0,0,1,6,0
1,4,0,1,1,"35","3","53.1","2",1,1,2,1,0,0,2,0
0,5,0,3,0,"35","3","8.05","0",3,0,1,0,0,1,6,0
0,6,0,3,0,"28.32","2","8.4583","0",3,0,1,0,0,1,5,2
0,7,0,1,0,"54","5","51.8625","2",3,0,1,0,1,0,4,0
0,8,0,3,0,"2","0","21.075","0",0,1,5,1,0,0,6,0
1,9,1,3,1,"27","2","11.1333","0",1,1,3,1,0,0,6,0
1,10,0,2,1,"14","1","30.0708","1",1,1,2,1,0,0,3,1
1,11,1,3,1,"4","0","16.7","0",2,1,3,1,0,0,6,0
1,12,1,1,1,"58","5","26.55","2",2,1,1,0,0,1,2,0
0,13,0,3,0,"20","2","8.05","0",3,0,1,0,0,1,6,0
0,14,0,3,0,"39","3","31.275","0",3,0,7,1,0,0,6,0
0,15,0,3,1,"14","1","7.8542","0",2,1,1,0,0,1,6,0
1,16,0,2,1,"55","5","16","1",1,1,1,0,0,1,5,0
0,17,0,3,0,"2","0","29.125","0",0,1,6,1,0,0,5,2
1,18,0,2,0,"32.91","3","13","1",3,0,1,0,0,1,5,0
0,19,0,3,1,"31","3","18","0",1,1,4,1,0,0,6,0
1,20,0,3,1,"32.33","3","7.225","0",1,1,1,0,0,1,5,1
0,21,0,2,0,"35","3","26","1",3,0,1,0,1,0,5,0
1,22,0,2,0,"34","3","13","1",3,0,1,0,0,1,3,0
1,23,1,3,1,"15","1","8.0292","0",2,1,1,0,0,1,5,2
1,24,0,1,0,"28","2","35.5","3",3,0,1,0,0,1,0,0
0,25,0,3,1,"8","0","21.075","0",2,1,5,1,0,0,6,0
1,26,1,3,1,"38","3","31.3875","0",1,1,7,1,0,0,6,0
0,27,0,3,0,"28.32","2","7.225","0",3,0,1,0,0,1,5,1
0,28,0,1,0,"19","1","263","3",3,0,6,1,0,0,2,0
1,29,0,3,1,"17.36","1","7.8792","0",2,1,1,0,0,1,5,2
0,30,0,3,0,"28.32","2","7.8958","0",3,0,1,0,0,1,6,0
0,31,0,1,0,"40","4","27.7208","2",3,0,1,0,0,1,2,1
1,32,0,1,1,"42.89","4","146.5208","4",1,1,2,0,1,0,1,1
1,33,0,3,1,"17.36","1","7.75","0",2,1,1,0,0,1,5,2
0,34,0,2,0,"66","6","10.5","0",3,0,1,0,0,1,5,0
0,35,0,1,0,"28","2","82.1708","3",3,0,2,1,0,0,2,1
0,36,0,1,0,"42","4","52","2",3,0,2,1,0,0,2,0
1,37,0,3,0,"28.32","2","7.2292","0",3,0,1,0,0,1,5,1
0,38,0,3,0,"21","2","8.05","0",3,0,1,0,0,1,6,0
0,39,0,3,1,"18","1","18","0",2,1,3,1,0,0,6,0
1,40,1,3,1,"14","1","11.2417","0",2,1,2,1,0,0,5,1
0,41,0,3,1,"40","4","9.475","0",1,1,2,0,0,1,6,0
0,42,0,2,1,"27","2","21","0",1,1,2,1,0,0,5,0
0,43,0,3,0,"28.32","2","7.8958","0",3,0,1,0,0,1,5,1
1,44,1,2,1,"3","0","41.5792","0",2,1,4,1,0,0,3,1
1,45,0,3,1,"19","1","7.8792","0",2,1,1,0,0,1,5,2
0,46,0,3,0,"28.32","2","8.05","0",3,0,1,0,0,1,6,0
0,47,0,3,0,"28.32","2","15.5","0",3,0,2,1,0,0,5,2
1,48,0,3,1,"17.36","1","7.75","0",2,1,1,0,0,1,5,2
